[0.0:1.44]  Salve, salve família.
[1.44:3.5]  Bem-vindos ao Natal do Grupo Flow.
[3.5:6.5]  Natal!
[6.5:8.700000000000001]  Oi!
[8.700000000000001:10.4]  Vai, vai, vai, vai, vai, vai, vai, vai, vai!
[10.4:12.0]  Ah!
[12.0:14.0]  Tá roubando ali, bate a água!
[14.0:14.700000000000001]  Não!
[14.700000000000001:15.700000000000001]  Vamos, vamos, vamos!
[15.700000000000001:17.7]  Eee!
[17.7:20.900000000000002]  E essa família tá toda aqui, junto com a Balduco também,
[20.900000000000002:22.6]  que vocês, a gente tá falando de Natal,
[22.6:24.6]  a magia do Natal começa com Balduco.
[24.6:27.900000000000002]  Pessoal, eu queria saber de vocês, aí como é que é o Natal,
[27.9:30.299999999999997]  em cada lugar, né, de onde vocês vieram.
[30.299999999999997:32.5]  Mas a gente tá aqui pra competir.
[32.5:33.9]  Natal não é, união.
[33.9:35.1]  Ingui vai perder, entendeu?
[35.1:38.1]  Se quem ganhar ou perder, todo mundo vai perder.
[38.1:39.7]  Essa lógica infalível.
[39.7:42.3]  E o jogo de hoje, eles vão estar divididos aqui em time.
[42.3:44.599999999999994]  Cholhamos os pessoas mais inteligentes, na mesa,
[44.599999999999994:45.5]  pra liderar o time.
[45.5:47.099999999999994]  Então eu lidero esse time aqui.
[47.099999999999994:49.5]  E a Mariana, que a minha esposa vai liderar aquele time, ele é.
[49.5:51.3]  E o a gente de Maluca, entendeu?
[51.3:54.5]  Cara, literalmente, o líder do time dos três idiota.
[55.5:56.9]  Unitamente.
[56.9:59.9]  E o único idiota que tá do outro lado é tu.
[62.3:63.7]  Calma aí!
[63.7:65.5]  Eu não vou treinar.
[66.5:69.3]  Unico que não é idiota tá aqui.
[69.3:72.9]  Nós vamos ter que pegar a maior quantidade de bolinhas de olhos vendados
[72.9:74.5]  e a cada raio de tempo diminui.
[74.5:76.1]  Oi, guarda aqui, olha aqui.
[76.1:77.1]  Isso, olha aqui pra cá.
[77.1:77.6]  Isso.
[77.6:79.1]  Você tem que fazer assim, ó.
[80.1:83.1]  Um, dois, três e já.
[83.1:85.1]  Tá com o carro, mano.
[85.1:87.1]  Você tá sem errigir.
[87.1:88.1]  Tá caindo fora.
[88.1:90.1]  Tá caindo, errigir, ó.
[90.1:91.1]  Tá pegando a nota.
[91.1:92.1]  Vai, vai, vai.
[92.1:93.1]  Ele tá apoiando, só faz.
[93.1:95.1]  Para de apoiar, não pode apoiar.
[95.1:97.1]  O batista, o carro, ele vai te amar.
[97.1:98.1]  É!
[98.1:99.1]  É!
[99.1:100.1]  Ô, o bão!
[100.1:101.1]  Chegou, bão!
[101.1:102.1]  Chegou, bão!
[102.1:103.1]  Que roubo.
[103.1:104.1]  Você.
[104.1:105.1]  Cadê?
[105.1:106.1]  Chegou, pode ir, vai.
[106.1:107.1]  Daí, vai.
[107.1:108.1]  Não, meu.
[108.1:112.1]  Um, dois, três, quatro, cinco, seis.
[113.1:115.1]  Oito, nove.
[115.1:117.1]  Oito, nove.
[117.1:118.1]  Tenho.
[118.1:119.1]  Deixos.
[119.1:121.1]  Cinco e seis e sete, oito e nove.
[121.1:122.1]  Sexta, sexta.
[122.1:123.1]  Sexta, sexta.
