[0.0:2.0]  DISH
[30.0:32.52]  Provação
[37.84:39.04]  Salve, shapinga, é bem-vindo usar mais um flow
[39.56:40.36]  Eu sou Hugo!
[40.36:42.6]  E hoje vou conversar com o céu,
[42.6:44.96]  eu não faço tempo com o pessoal e escrever com o seco.
[44.96:45.0]  Eu não quero me conversar assembly 관�
[45.519999999999996:46.78] dz
[46.78:49.68]  É, aqui está um tempo corçando ó
[49.78:50.72]  Ele já falou um dos lugaresại do mundo
[50.72:51.32]  E tudo o mundo realmente如何
[51.32:52.32]  Não
[52.32:52.36]  Inclusive coisa que a gente sim
[52.68:54.760000000000005]  Não, não
[56.28:58.24]  Mas tem das coisas que poderia ser o seu vivo
[58.24:61.68]  Tipo, o fato de você estar perguntando por cara, se você está bonito.
[61.68:63.18]  É, você achou o filho da puta.
[63.18:64.68]  E, mas um filho da puta bom?
[64.68:66.0]  Fou que você entendeu?
[66.0:66.8]  Entendi.
[66.8:68.0]  É, um filho da puta...
[68.5:69.2]  Você entendeu?
[69.2:69.9]  Eu te peguei.
[69.9:70.9]  Entendi.
[73.1:74.74000000000001]  É, mas aí, um filho da puta.
[74.74000000000001:75.6]  Assim!
[75.6:76.36]  Sim.
[76.36:76.86]  Sim.
[76.86:77.86]  Mas, um filho da puta bacana.
[77.86:81.6]  É, o tipo de filho da puta que eu me considero também, entendeu?
[81.6:82.1]  Então...
[82.1:83.36]  É, você é um filho da puta, cara.
[83.36:84.36]  Você me acha, um filho da puta?
[84.36:85.1]  Boa!
[85.1:85.6]  Tá.
[85.6:86.76]  Filho da puta pra caralho.
[86.76:87.26]  Por que?
[87.98:90.5]  Ah, porque você...
[90.5:93.30000000000001]  Cara, eu não estava privado essa pergunta.
[93.30000000000001:94.86]  Era só uma coisa meio solta, entendeu?
[94.86:95.54]  Tá bom, tá bom.
[95.54:97.54]  Então vamos continuar aqui.
[97.54:100.14]  Eu ia dizer que, pois a gente estava falando que você está bonito, inclusive.
[100.14:102.30000000000001]  Mas você tem como você ficar mais bonito ainda?
[102.30000000000001:103.54]  Ah, com a impossível.
[103.54:105.78]  Ah, eu sou cara mais bonito que tenha aqui, pô.
[105.78:109.42]  Eu analisei todo mundo aqui no estúdio, inclusive você.
[109.42:111.26]  E eu com certeza sou o cara mais bonito estar aqui.
[111.26:113.86000000000001]  Você é mar bonito que eu, de caussadins, inclusive,
[113.86000000000001:115.86000000000001]  porque as senhores não costumam ver de caussadins.
[115.86:117.7]  Ah, esse pesão, seu tá sujo, pô.
[117.7:118.44]  É que meu pé...
[118.44:119.98]  Meu pé me feio, meu Deus.
[119.98:122.86]  Não, nem que ele tá feio, é que ele tá sujo do mesmo, entendeu?
[122.86:125.98]  Então, pior que ele tá limpo, e parece sujo que ele feio, entendeu?
[125.98:128.38]  Ah, é, cara, deixa eu for, hein.
[128.38:130.46]  Então, a gente dá um presente aqui, ó.
[130.46:133.1]  Dá insaida, eu tô ficando mais bonito ainda.
